,plot,biome,total_richness,native_richness,non_native_richness,relative_non_native_native_proportion,state,latitude,longitude
141,NTAMAC0002,Desert shrublands,58,49,9,0.137931034,NT,-23.96164444,133.4035083
142,NTAMAC0002,Desert shrublands,41,36,5,0.12195122,NT,-23.96164444,133.4035083
143,NTAMAC0003,Desert shrublands,55,51,4,0.054545455,NT,-23.95909444,133.4084889
144,NTAMAC0003,Desert shrublands,27,23,4,0.074074074,NT,-23.95909444,133.4084889
145,NTASSD0001,Desert shrublands,30,30,0,0,NT,-25.30979167,136.3070278
146,NTASSD0002,Desert shrublands,22,22,0,0,NT,-25.288317,136.29419
147,NTASSD0003,Desert shrublands,34,34,0,0,NT,-25.29944444,136.298875
148,NTASSD0004,Desert shrublands,27,27,0,0,NT,-25.25326667,136.2748111
149,NTASSD0005,Desert shrublands,38,38,0,0,NT,-25.75411111,136.5469528
150,NTASSD0006,Desert shrublands,20,20,0,0,NT,-25.75343611,136.547825
151,NTASSD0007,Desert shrublands,37,36,1,0.027027027,NT,-25.78355556,136.564875
152,NTASSD0008,Desert shrublands,21,21,0,0,NT,-25.77833611,136.5624611
153,NTASSD0009,Desert shrublands,43,43,0,0,NT,-24.7817328,136.0114582
154,NTASSD0010,Desert shrublands,49,49,0,0,NT,-24.792826,136.021357
155,NTASSD0011,Desert shrublands,23,22,1,0.043478261,NT,-25.48054722,135.1151139
156,NTASSD0012,Desert shrublands,21,21,0,0,NT,-25.50321667,135.1157111
157,NTASSD0013,Desert shrublands,14,14,0,0,NT,-25.52404722,135.1395056
158,NTASSD0014,Desert shrublands,18,18,0,0,NT,-25.13786944,135.3707
159,NTASSD0015,Desert shrublands,56,55,1,0.017857143,NT,-25.12393333,135.6167917
160,NTASSD0016,Desert shrublands,25,25,0,0,NT,-25.11011389,135.5079972
161,NTASSD0017,Desert shrublands,36,36,0,0,NT,-25.47658889,135.2584222
162,NTASSD0018,Desert shrublands,22,22,0,0,NT,-25.12793333,135.5226389
163,NTASSD0019,Desert shrublands,38,38,0,0,NT,-25.09440833,135.6407917
164,NTATAN0001,Desert shrublands,33,33,0,0,NT,-20.6995098,134.2054273
165,NTATAN0002,Desert shrublands,45,44,1,0.022222222,NT,-20.7228814,134.2003669
166,NTATAN0003,Desert shrublands,45,45,0,0,NT,-20.9215447,133.8713681
167,NTATAN0004,Desert shrublands,47,47,0,0,NT,-20.9217778,133.886123
168,NTTDMR0001,Desert shrublands,99,97,2,0.02020202,NT,-18.08004167,133.6845444
169,NTTDMR0002,Desert shrublands,63,61,2,0.031746032,NT,-18.07249722,133.6350222
170,NTTDMR0003,Desert shrublands,74,72,2,0.027027027,NT,-18.07204444,133.6669306
171,QDACHC0003,Desert shrublands,25,24,1,0.04,QLD,-24.11637778,143.1648944
172,QDACHC0004,Desert shrublands,35,34,1,0,QLD,-23.71877222,141.0918611
173,QDACHC0005,Desert shrublands,39,37,2,0.025641026,QLD,-23.721675,141.0723056
174,QDACHC0006,Desert shrublands,26,25,1,0,QLD,-23.76945278,141.1334972
175,QDACHC0007,Desert shrublands,21,20,1,0,QLD,-23.83569167,141.0290944
176,QDASSD0001,Desert shrublands,40,40,0,0,QLD,-23.76406944,138.4765167
177,QDASSD0001,Desert shrublands,32,32,0,0,QLD,-23.76406944,138.4765167
178,QDASSD0001,Desert shrublands,26,26,0,0,QLD,-23.76406944,138.4765167
179,QDASSD0001,Desert shrublands,22,22,0,0,QLD,-23.76406944,138.4765167
180,QDASSD0002,Desert shrublands,23,23,0,0,QLD,-23.82771944,138.3897028
181,QDASSD0002,Desert shrublands,35,35,0,0,QLD,-23.82771944,138.3897028
182,QDASSD0002,Desert shrublands,39,39,0,0,QLD,-23.82771944,138.3897028
183,QDASSD0002,Desert shrublands,25,25,0,0,QLD,-23.82771944,138.3897028
184,QDASSD0003,Desert shrublands,32,32,0,0,QLD,-23.83157222,138.4074167
185,QDASSD0003,Desert shrublands,37,37,0,0,QLD,-23.83157222,138.4074167
186,QDASSD0003,Desert shrublands,48,48,0,0,QLD,-23.83157222,138.4074167
187,QDASSD0003,Desert shrublands,22,22,0,0,QLD,-23.83157222,138.4074167
188,QDASSD0004,Desert shrublands,33,33,0,0,QLD,-23.680125,138.433775
189,QDASSD0004,Desert shrublands,30,30,0,0,QLD,-23.680125,138.433775
190,QDASSD0004,Desert shrublands,34,34,0,0,QLD,-23.680125,138.433775
191,QDASSD0004,Desert shrublands,25,25,0,0,QLD,-23.680125,138.433775
192,QDASSD0005,Desert shrublands,21,21,0,0,QLD,-23.69443889,138.4409972
193,QDASSD0005,Desert shrublands,24,24,0,0,QLD,-23.69443889,138.4409972
194,QDASSD0005,Desert shrublands,27,27,0,0,QLD,-23.69443889,138.4409972
195,QDASSD0005,Desert shrublands,21,21,0,0,QLD,-23.69443889,138.4409972
196,QDASSD0006,Desert shrublands,34,34,0,0,QLD,-23.87954167,138.0984194
197,QDASSD0006,Desert shrublands,30,30,0,0,QLD,-23.87954167,138.0984194
198,QDASSD0006,Desert shrublands,37,36,1,0.027027027,QLD,-23.87954167,138.0984194
199,QDASSD0006,Desert shrublands,21,21,0,0,QLD,-23.87954167,138.0984194
200,QDASSD0007,Desert shrublands,35,35,0,0,QLD,-23.88048889,138.096425
201,QDASSD0007,Desert shrublands,37,37,0,0,QLD,-23.88048889,138.096425
202,QDASSD0007,Desert shrublands,41,40,1,0,QLD,-23.88048889,138.096425
203,QDASSD0007,Desert shrublands,38,37,1,0,QLD,-23.88048889,138.096425
204,QDASSD0008,Desert shrublands,26,26,0,0,QLD,-23.95415278,138.1369861
205,QDASSD0008,Desert shrublands,30,30,0,0,QLD,-23.95415278,138.1369861
206,QDASSD0008,Desert shrublands,37,37,0,0,QLD,-23.95415278,138.1369861
207,QDASSD0008,Desert shrublands,22,22,0,0,QLD,-23.95415278,138.1369861
208,QDASSD0009,Desert shrublands,25,25,0,0,QLD,-23.96730833,138.140975
209,QDASSD0009,Desert shrublands,34,34,0,0,QLD,-23.96730833,138.140975
210,QDASSD0009,Desert shrublands,39,39,0,0,QLD,-23.96730833,138.140975
211,QDASSD0009,Desert shrublands,34,34,0,0,QLD,-23.96730833,138.140975
212,QDASSD0010,Desert shrublands,39,38,1,0,QLD,-23.731025,138.0003861
213,QDASSD0010,Desert shrublands,11,10,1,0,QLD,-23.731025,138.0003861
214,QDASSD0010,Desert shrublands,64,63,1,0,QLD,-23.731025,138.0003861
215,QDASSD0010,Desert shrublands,23,22,1,0,QLD,-23.731025,138.0003861
216,QDASSD0011,Desert shrublands,48,46,2,0,QLD,-23.23663333,138.2260806
217,QDASSD0011,Desert shrublands,29,27,2,0.068965517,QLD,-23.23663333,138.2260806
218,QDASSD0011,Desert shrublands,34,34,0,0,QLD,-23.23663333,138.2260806
219,QDASSD0011,Desert shrublands,31,30,1,0.032258065,QLD,-23.23663333,138.2260806
220,QDASSD0012,Desert shrublands,22,22,0,0,QLD,-23.34449722,138.2522444
221,QDASSD0012,Desert shrublands,21,21,0,0,QLD,-23.34449722,138.2522444
222,QDASSD0012,Desert shrublands,25,24,1,0,QLD,-23.34449722,138.2522444
223,QDASSD0012,Desert shrublands,22,21,1,0.045454545,QLD,-23.34449722,138.2522444
224,QDASSD0013,Desert shrublands,35,35,0,0,QLD,-23.29418889,138.226025
225,QDASSD0013,Desert shrublands,41,40,1,0.024390244,QLD,-23.29418889,138.226025
226,QDASSD0013,Desert shrublands,43,42,1,0.023255814,QLD,-23.29418889,138.226025
227,QDASSD0013,Desert shrublands,23,22,1,0.043478261,QLD,-23.29418889,138.226025
228,QDASSD0014,Desert shrublands,45,45,0,0,QLD,-23.17578611,138.1672889
229,QDASSD0014,Desert shrublands,41,41,0,0,QLD,-23.17578611,138.1672889
230,QDASSD0014,Desert shrublands,67,67,0,0,QLD,-23.17578611,138.1672889
231,QDASSD0014,Desert shrublands,41,40,1,0.024390244,QLD,-23.17578611,138.1672889
232,QDASSD0015,Desert shrublands,50,50,0,0,QLD,-23.188075,138.1930944
233,QDASSD0015,Desert shrublands,36,35,1,0.027777778,QLD,-23.188075,138.1930944
234,QDASSD0015,Desert shrublands,55,55,0,0,QLD,-23.188075,138.1930944
235,SAABHC0001,Desert shrublands,35,35,0,0,SA,-31.92288056,140.4651694
236,SAABHC0001,Desert shrublands,26,26,0,0,SA,-31.92288056,140.4651694
237,SAABHC0002,Desert shrublands,31,30,1,0.032258065,SA,-31.98336944,140.5023778
238,SAABHC0002,Desert shrublands,26,25,1,0.038461538,SA,-31.98336944,140.5023778
239,SAABHC0003,Desert shrublands,37,32,5,0.135135135,SA,-31.94265556,140.5466028
240,SAABHC0003,Desert shrublands,42,42,0,0,SA,-31.94265556,140.5466028
241,SAABHC0004,Desert shrublands,42,32,10,0.238095238,SA,-32.01899722,140.5268556
242,SAABHC0004,Desert shrublands,31,27,4,0.129032258,SA,-32.01899722,140.5268556
243,SAABHC0005,Desert shrublands,16,15,1,0.0625,SA,-31.97321235,140.5836429
244,SAABHC0006,Desert shrublands,13,13,0,0,SA,-31.90469653,140.6801647
245,SAACHC0001,Desert shrublands,40,39,1,0.025,SA,-27.409028,140.189586
246,SAACHC0002,Desert shrublands,22,22,0,0,SA,-27.41018406,140.186919
247,SAACHC0003,Desert shrublands,23,23,0,0,SA,-27.493709,140.120751
248,SAACHC0004,Desert shrublands,25,24,1,0.04,SA,-27.491906,140.119866
249,SAACHC0005,Desert shrublands,38,38,0,0,SA,-27.51444898,140.1782431
250,SAACHC0006,Desert shrublands,43,43,0,0,SA,-27.5148642,140.1805824
251,SAACHC0008,Desert shrublands,43,43,0,0,SA,-27.34928078,140.1579009
252,SAACHC0009,Desert shrublands,36,36,0,0,SA,-27.35049291,140.1575178
253,SAACHC0010,Desert shrublands,29,29,0,0,SA,-27.4706797,140.186347
254,SAACHC0011,Desert shrublands,31,31,0,0,SA,-27.47213306,140.1879274
255,SAACHC0012,Desert shrublands,42,42,0,0,SA,-27.61024145,140.3598566
256,SAACHC0013,Desert shrublands,25,25,0,0,SA,-27.74622654,140.7462702
257,SAACHC0014,Desert shrublands,38,38,0,0,SA,-28.09195395,140.5800757
258,SAACHC0015,Desert shrublands,49,49,0,0,SA,-28.093484,140.577099
259,SAAEYB0001,Mediterranean woodlands,32,18,14,0.4375,SA,-34.4568,137.3646306
260,SAAEYB0002,Mediterranean woodlands,80,75,5,0.0625,SA,-35.1010595,137.3957336
261,SAAEYB0003,Mediterranean woodlands,97,81,16,0.164948454,SA,-35.17267058,137.1651345
262,SAAEYB0004,Mediterranean woodlands,88,82,6,0.068181818,SA,-35.15362767,137.0783542
263,SAAEYB0005,Mediterranean woodlands,97,79,18,0.195876289,SA,-35.113453,137.017442
264,SAAEYB0006,Mediterranean woodlands,121,103,18,0.148760331,SA,-35.132789,137.095945
265,SAAEYB0007,Mediterranean woodlands,77,73,4,0.051948052,SA,-35.2704748,136.8777863
266,SAAEYB0008,Mediterranean woodlands,97,79,18,0.18556701,SA,-35.04934872,137.2139253
267,SAAEYB0009,Mediterranean woodlands,64,52,12,0.1875,SA,-35.2553631,136.8481811
268,SAAEYB0010,Mediterranean woodlands,84,74,10,0.107142857,SA,-35.246255,136.926715
269,SAAEYB0011,Mediterranean woodlands,98,74,24,0.244897959,SA,-35.156909,137.046928
270,SAAEYB0012,Mediterranean woodlands,105,84,21,0.2,SA,-35.17259331,136.9465905
271,SAAEYB0013,Mediterranean woodlands,78,63,15,0.192307692,SA,-35.18971683,137.0969029
272,SAAEYB0014,Mediterranean woodlands,84,77,7,0.083333333,SA,-35.26877138,136.8647437
273,SAAEYB0015,Mediterranean woodlands,94,82,12,0.127659574,SA,-35.19623919,136.9540931
274,SAAEYB0016,Mediterranean woodlands,76,65,11,0.144736842,SA,-35.178949,137.1799883
275,SAAEYB0017,Mediterranean woodlands,78,68,10,0.128205128,SA,-35.2447503,136.8458036
276,SAAEYB0021,Mediterranean woodlands,51,51,0,0,SA,-33.83882212,136.1292331
277,SAAEYB0022,Mediterranean woodlands,39,37,2,0.051282051,SA,-33.83529583,136.0188862
278,SAAEYB0023,Mediterranean woodlands,56,55,1,0.017857143,SA,-33.81098671,136.1473198
279,SAAEYB0024,Mediterranean woodlands,62,56,6,0.080645161,SA,-33.76161029,136.0674051
280,SAAEYB0025,Mediterranean woodlands,80,68,12,0.1375,SA,-34.66208653,135.3709543
281,SAAEYB0026,Mediterranean woodlands,84,68,16,0.19047619,SA,-34.67025657,135.3924635
282,SAAEYB0027,Mediterranean woodlands,68,58,10,0.132352941,SA,-34.6799485,135.3910658
283,SAAEYB0028,Mediterranean woodlands,41,31,10,0.243902439,SA,-34.68853799,135.387597
284,SAAEYB0029,Mediterranean woodlands,50,47,3,0.06,SA,-33.26579387,136.9371981
285,SAAEYB0030,Mediterranean woodlands,55,54,1,0.018181818,SA,-33.19091907,136.8234574
286,SAAEYB0031,Mediterranean woodlands,42,41,1,0.023809524,SA,-33.20810817,136.9007118
287,SAAEYB0032,Mediterranean woodlands,50,47,3,0.06,SA,-33.2023505,136.8494437
288,SAAEYB0033,Mediterranean woodlands,33,33,0,0,SA,-33.22334811,136.9240633
289,SAAEYB0035,Mediterranean woodlands,31,28,3,0.096774194,SA,-31.983078,132.211062
290,SAAEYB0036,Mediterranean woodlands,20,19,1,0.05,SA,-31.994197,132.374271
291,SAAFLB0003,Mediterranean woodlands,91,57,34,0.373626374,SA,-34.97365,138.646998
292,SAAFLB0003,Mediterranean woodlands,73,44,29,0.383561644,SA,-34.97365,138.646998
293,SAAFLB0004,Mediterranean woodlands,61,41,20,0.327868852,SA,-35.07034722,138.5786
294,SAAFLB0005,Mediterranean woodlands,85,64,21,0.247058824,SA,-33.02676944,138.1032556
295,SAAFLB0006,Mediterranean woodlands,57,54,3,0.052631579,SA,-33.08573611,138.1626917
296,SAAFLB0007,Mediterranean woodlands,29,26,3,0.103448276,SA,-31.82368889,138.2997028
297,SAAFLB0008,Mediterranean woodlands,40,37,3,0.075,SA,-31.83778611,138.3511917
298,SAAFLB0030,Mediterranean woodlands,33,32,1,0,SA,-29.97848333,138.0151194
299,SAAFLB0030,Mediterranean woodlands,30,28,2,0.033333333,SA,-29.97848333,138.0151194
300,SAAFLB0030,Mediterranean woodlands,28,28,0,0,SA,-29.97848333,138.0151194
301,SAAFLB0031,Mediterranean woodlands,45,45,0,0,SA,-29.971575,137.9545667
302,SAAFLB0031,Mediterranean woodlands,4,4,0,0,SA,-29.971575,137.9545667
303,SAAFLB0031,Mediterranean woodlands,32,32,0,0,SA,-29.971575,137.9545667
304,SAAGAW0001,Desert shrublands,32,31,1,0.03125,SA,-32.98324722,137.1972083
